model,basket_size,hold_months,is_ann_return,is_sharpe,is_sortino,is_calmar,spy_is_sharpe,oos_ann_return,oos_sharpe,oos_sortino,oos_calmar,spy_oos_sharpe,pre_shock_ann_return,pre_shock_sharpe,post_shock_ann_return,post_shock_sharpe,post_shock_sector_exposure,full_oos_sector_exposure
three_factor,25,3,12.89,0.488,0.422,0.285,0.434,11.92,0.334,0.38,,0.78,,,35.75,2.315,XLK:40.0%; XLI:18.0%; XLY:10.0%; XLF:10.0%; XLU:8.0%,XLK:30.7%; XLI:21.3%; XLF:16.0%; XLY:8.0%; XLB:8.0%
three_factor,25,6,12.71,0.48,0.416,0.322,0.436,,,,,,,,23.58,,XLK:44.0%; XLY:16.0%; XLF:12.0%; XLB:8.0%; XLI:8.0%,XLI:28.0%; XLF:28.0%; XLV:12.0%; XLK:12.0%; XLB:12.0%
three_factor,30,1,13.6,0.492,0.432,0.281,0.403,7.04,0.146,0.215,1.292,1.048,-33.84,-5.219,21.84,1.167,XLK:34.2%; XLI:21.2%; XLY:12.1%; XLV:11.7%; XLF:6.7%,XLK:31.5%; XLI:19.4%; XLV:12.4%; XLY:11.2%; XLF:10.3%
three_factor,30,2,13.8,0.518,0.491,0.324,0.417,13.11,0.449,0.534,6.081,1.07,-34.37,,22.41,1.399,XLK:35.8%; XLI:20.0%; XLY:12.5%; XLV:12.5%; XLF:5.8%,XLK:31.3%; XLI:21.3%; XLF:11.3%; XLY:10.0%; XLV:10.0%
three_factor,30,3,12.51,0.491,0.439,0.29,0.434,13.34,0.416,0.461,,0.78,,,37.99,3.919,XLK:40.0%; XLI:18.3%; XLY:8.3%; XLF:8.3%; XLU:8.3%,XLK:31.1%; XLI:20.0%; XLF:15.6%; XLY:7.8%; XLB:7.8%
three_factor,30,6,13.0,0.513,0.437,0.346,0.436,,,,,,,,23.18,,XLK:43.3%; XLI:13.3%; XLY:13.3%; XLF:10.0%; XLB:6.7%,XLF:30.0%; XLI:23.3%; XLK:13.3%; XLB:13.3%; XLV:10.0%
three_factor,40,1,13.46,0.485,0.418,0.279,0.403,9.36,0.295,0.376,1.603,1.048,-35.03,-6.316,26.98,1.445,XLK:31.2%; XLI:23.4%; XLY:13.1%; XLV:10.0%; XLF:7.5%,XLK:28.9%; XLI:20.7%; XLY:11.6%; XLV:11.6%; XLF:11.6%
three_factor,40,2,13.56,0.49,0.447,0.329,0.417,10.16,0.329,0.336,6.821,1.07,-36.22,,29.97,1.681,XLK:33.8%; XLI:22.5%; XLY:13.8%; XLV:10.6%; XLF:7.5%,XLK:27.5%; XLI:22.5%; XLF:12.5%; XLV:10.5%; XLY:10.0%
three_factor,40,3,11.95,0.454,0.378,0.28,0.434,13.68,0.384,0.449,,0.78,,,40.0,2.398,XLK:33.8%; XLI:23.8%; XLY:10.0%; XLF:10.0%; XLU:7.5%,XLK:26.7%; XLI:23.3%; XLF:19.2%; XLY:8.3%; XLB:6.7%
three_factor,40,6,12.11,0.462,0.381,0.313,0.436,,,,,,,,28.29,,XLK:37.5%; XLI:20.0%; XLF:15.0%; XLY:12.5%; XLB:5.0%,XLF:37.5%; XLI:22.5%; XLK:12.5%; XLV:10.0%; XLB:10.0%
