date,rolling_corr,rolling_beta,beta_ci_lo,beta_ci_hi
2024-04-30,0.3452956120315009,0.006266816912713602,0.0020014020701431823,0.010532231755284022
2024-05-31,0.31820392219428345,0.006377536522899582,0.0009767320513999,0.011778340994399263
2024-06-30,0.3203652910450953,0.007151338525924098,0.0004213836042410027,0.013881293447607194
2024-07-31,0.3061984609184242,0.007354008548566745,-0.0006970870908223304,0.01540510418795582
2024-08-31,0.3557302393184344,0.009128549961817643,0.0003717651138449591,0.017885334809790328
2024-09-30,0.36981504331121406,0.009934701211491205,0.00022855048458412554,0.019640851938398284
2024-10-31,0.29143615474020884,0.0075696561350440655,-0.0003373703706996186,0.01547668264078775
2024-11-30,0.24540601033535084,0.00642957173000998,-0.001427204814384967,0.014286348274404927
2024-12-31,0.1961811444238405,0.005115318172387249,-0.002252618655732796,0.012483255000507294
2025-01-31,0.13360580448562606,0.0035526132789045137,-0.0033782192295578424,0.01048344578736687
2025-02-28,0.1051312053374256,0.0029379103355573278,-0.004389174002118188,0.010264994673232844
2025-03-31,0.09644010749100707,0.002772354043143511,-0.005019476531848276,0.010564184618135299
2025-04-30,0.1067331328056806,0.0031610852393805155,-0.005085091687140354,0.011407262165901384
2025-05-31,0.19237005866726423,0.006766848030374793,-0.0007321093986552858,0.014265805459404871
2025-06-30,0.17885965675444498,0.007424238355706689,-0.00318023431347171,0.018028711024885086
2025-07-31,0.23560437472960594,0.010878325554373902,2.2422061418895384e-05,0.02173422904732891
2025-08-31,0.2371463092154677,0.012222353332063098,-0.0011260524118454664,0.02557075907597166
2025-09-30,0.27150525147021803,0.014756792262661954,0.0010462222141858473,0.028467362311138063
2025-10-31,0.24039018267303652,0.013679682277947658,-0.0016643005320017782,0.029023665087897096
